movie_title,genres,plot_keywords,imdb_score,duration,imdb_score_norm,duration_norm,clean_genres,clean_keywords,embedding_data
Avatar ,Action|Adventure|Fantasy|Sci-Fi,avatar|future|marine|native|paraplegic,7.9,178.0,0.8181818181818182,0.33928571428571425,Action Adventure Fantasy Sci-Fi,avatar future marine native paraplegic,avatar  avatar future marine native paraplegic genre: Action Adventure Fantasy Sci-Fi
Pirates of the Caribbean: At World's End ,Action|Adventure|Fantasy,goddess|marriage ceremony|marriage proposal|pirate|singapore,7.1,169.0,0.7142857142857142,0.3214285714285714,Action Adventure Fantasy,goddess marriage ceremony marriage proposal pirate singapore,pirates of the caribbean: at world's end  goddess marriage ceremony marriage proposal pirate singapore genre: Action Adventure Fantasy
Spectre ,Action|Adventure|Thriller,bomb|espionage|sequel|spy|terrorist,6.8,148.0,0.6753246753246752,0.2797619047619047,Action Adventure Thriller,bomb espionage sequel spy terrorist,spectre  bomb espionage sequel spy terrorist genre: Action Adventure Thriller
The Dark Knight Rises ,Action|Thriller,deception|imprisonment|lawlessness|police officer|terrorist plot,8.5,164.0,0.896103896103896,0.31150793650793646,Action Thriller,deception imprisonment lawlessness police officer terrorist plot,the dark knight rises  deception imprisonment lawlessness police officer terrorist plot genre: Action Thriller
John Carter ,Action|Adventure|Sci-Fi,alien|american civil war|male nipple|mars|princess,6.6,132.0,0.6493506493506492,0.24801587301587297,Action Adventure Sci-Fi,alien american civil war male nipple mars princess,john carter  alien american civil war male nipple mars princess genre: Action Adventure Sci-Fi
Spider-Man 3 ,Action|Adventure|Romance,sandman|spider man|symbiote|venom|villain,6.2,156.0,0.5974025974025974,0.29563492063492064,Action Adventure Romance,sandman spider man symbiote venom villain,spider-man 3  sandman spider man symbiote venom villain genre: Action Adventure Romance
Tangled ,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,17th century|based on fairy tale|disney|flower|tower,7.8,100.0,0.8051948051948051,0.1845238095238095,Adventure Animation Comedy Family Fantasy Musical Romance,17th century based on fairy tale disney flower tower,tangled  17th century based on fairy tale disney flower tower genre: Adventure Animation Comedy Family Fantasy Musical Romance
Avengers: Age of Ultron ,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,7.5,141.0,0.7662337662337662,0.26587301587301587,Action Adventure Sci-Fi,artificial intelligence based on comic book captain america marvel cinematic universe superhero,avengers: age of ultron  artificial intelligence based on comic book captain america marvel cinematic universe superhero genre: Action Adventure Sci-Fi
Harry Potter and the Half-Blood Prince ,Adventure|Family|Fantasy|Mystery,blood|book|love|potion|professor,7.5,153.0,0.7662337662337662,0.28968253968253965,Adventure Family Fantasy Mystery,blood book love potion professor,harry potter and the half-blood prince  blood book love potion professor genre: Adventure Family Fantasy Mystery
Batman v Superman: Dawn of Justice ,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,6.9,183.0,0.6883116883116883,0.3492063492063492,Action Adventure Sci-Fi,based on comic book batman sequel to a reboot superhero superman,batman v superman: dawn of justice  based on comic book batman sequel to a reboot superhero superman genre: Action Adventure Sci-Fi
