imdb_score,duration,gross,budget
7.9,178.0,760505847.0,237000000.0
7.1,169.0,309404152.0,300000000.0
6.8,148.0,200074175.0,245000000.0
8.5,164.0,448130642.0,250000000.0
6.6,132.0,73058679.0,263700000.0
6.2,156.0,336530303.0,258000000.0
7.8,100.0,200807262.0,260000000.0
7.5,141.0,458991599.0,250000000.0
7.5,153.0,301956980.0,250000000.0
6.9,183.0,330249062.0,250000000.0
6.1,169.0,200069408.0,209000000.0
6.7,106.0,168368427.0,200000000.0
7.3,151.0,423032628.0,225000000.0
6.5,150.0,89289910.0,215000000.0
7.2,143.0,291021565.0,225000000.0
6.6,150.0,141614023.0,225000000.0
8.1,173.0,623279547.0,220000000.0
6.7,136.0,241063875.0,250000000.0
6.8,106.0,179020854.0,225000000.0
7.5,164.0,255108370.0,250000000.0
7.0,153.0,262030663.0,230000000.0
6.7,156.0,105219735.0,200000000.0
7.9,186.0,258355354.0,225000000.0
6.1,113.0,70083519.0,180000000.0
7.2,201.0,218051260.0,207000000.0
7.7,194.0,658672302.0,200000000.0
8.2,147.0,407197282.0,250000000.0
5.9,131.0,65173160.0,209000000.0
7.0,124.0,652177271.0,150000000.0
7.8,143.0,304360277.0,200000000.0
7.3,135.0,373377893.0,200000000.0
7.2,195.0,408992272.0,200000000.0
6.5,108.0,334185206.0,200000000.0
6.8,104.0,234360014.0,210000000.0
7.3,104.0,268488329.0,200000000.0
6.0,150.0,402076689.0,200000000.0
5.7,165.0,245428137.0,210000000.0
6.4,130.0,234903076.0,215000000.0
6.7,142.0,202853933.0,200000000.0
6.8,125.0,172051787.0,170000000.0
6.3,106.0,191450875.0,200000000.0
5.6,123.0,116593191.0,200000000.0
8.3,103.0,414984497.0,200000000.0
6.6,118.0,125320003.0,200000000.0
7.2,140.0,350034110.0,190000000.0
7.0,123.0,202351611.0,190000000.0
8.0,149.0,233914986.0,200000000.0
7.8,132.0,228756232.0,190000000.0
6.3,114.0,65171860.0,195000000.0
7.3,143.0,144812796.0,105000000.0
6.6,116.0,90755643.0,200000000.0
7.0,131.0,101785482.0,190000000.0
6.3,154.0,352358779.0,195000000.0
6.2,122.0,317011114.0,185000000.0
6.8,93.0,123070338.0,0.0
7.2,93.0,237282182.0,185000000.0
7.5,122.0,130468626.0,185000000.0
8.4,98.0,223806889.0,180000000.0
6.2,91.0,140080850.0,140000000.0
5.8,158.0,166112167.0,200000000.0
6.8,96.0,137850096.0,200000000.0
5.4,127.0,47375327.0,176000000.0
6.6,110.0,124051759.0,180000000.0
6.9,150.0,291709845.0,180000000.0
7.3,144.0,154985087.0,178000000.0
9.0,152.0,533316061.0,185000000.0
8.3,96.0,292979556.0,175000000.0
6.5,94.0,198332128.0,175000000.0
7.9,126.0,318298180.0,140000000.0
7.5,126.0,73820094.0,170000000.0
4.8,106.0,113745408.0,170000000.0
5.2,112.0,102176165.0,145000000.0
6.9,123.0,161087183.0,175000000.0
5.4,96.0,100289690.0,175000000.0
7.9,113.0,100189501.0,178000000.0
6.1,176.0,88246220.0,175000000.0
5.8,118.0,150167630.0,175000000.0
8.3,95.0,356454367.0,175000000.0
7.8,106.0,362645141.0,175000000.0
7.0,124.0,312057433.0,200000000.0
6.1,132.0,155111815.0,170000000.0
7.0,97.0,241407328.0,180000000.0
7.6,130.0,208543795.0,170000000.0
4.5,109.0,0.0,0.0
6.3,128.0,38297305.0,175000000.0
7.8,136.0,259746958.0,170000000.0
6.4,93.0,238371987.0,165000000.0
6.5,130.0,93417865.0,190000000.0
7.9,102.0,222487711.0,165000000.0
7.8,101.0,189412677.0,165000000.0
6.6,100.0,665426.0,165000000.0
5.5,120.0,102315545.0,165000000.0
8.2,98.0,217387997.0,165000000.0
6.4,109.0,150350192.0,200000000.0
8.1,121.0,333130696.0,170000000.0
8.6,169.0,187991439.0,165000000.0
8.8,148.0,292568851.0,160000000.0
8.2,120.0,0.0,0.0
7.9,182.0,303001229.0,180000000.0
6.7,106.0,144512310.0,38000000.0
7.8,166.0,127490802.0,150000000.0
7.8,132.0,146405371.0,160000000.0
6.6,137.0,281666058.0,160000000.0
6.1,109.0,63143812.0,150000000.0
5.6,98.0,60655503.0,160000000.0
6.4,113.0,76846624.0,170000000.0
6.1,93.0,320706665.0,160000000.0
7.3,123.0,46978995.0,160000000.0
6.6,126.0,89732035.0,155000000.0
6.3,113.0,104383624.0,155000000.0
6.1,184.0,198539855.0,140000000.0
7.1,144.0,318759914.0,150000000.0
5.5,206.0,34293771.0,155000000.0
7.5,138.0,292000866.0,150000000.0
7.6,157.0,289994397.0,150000000.0
6.4,102.0,227946274.0,150000000.0
7.2,104.0,256386216.0,150000000.0
6.7,115.0,206456431.0,150000000.0
